,Name,ID,RAM,Processor,Model,Brand,Screen Size,Connectivity,OS,Camera,Storage,Price
11,Samsung Galaxy S20 FE 5G G781U  Verizon Straight Talk Mint Unlocked Boost AT&T,266470918672,12 GB,Octa Core,Samsung Galaxy S20 FE 5G,Samsung,6.5,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,128,209.99
12,Samsung Galaxy S9 | S9+ Plus 64GB 128GB 256GB - (Unlocked) Verizon T-Mobile AT&T,255573438198,4 GB,Octa Core,,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi",Android,12.0 MP,,154.94
13,Samsung Galaxy S10 Factory Unlocked Verizon T-Mobile Metro Cricket AT&T OPEN BOX,114785092853,8 GB,2.8 GHz Qualcomm Snapdragon 855,Samsung Galaxy S10,Samsung,6.1 in,"2G, 3G, 4G, 4G+, Bluetooth, DLNA, Dual-Band, GPRS, GPS",Android,16.0 MP,128 GB,199.48
14,Samsung Galaxy Z FLIP 3 -5G 128GB UNLOCKED AT&T VERIZON TMOBILE METRO  EXCELLENT,134427487399,8 GB,Qualcomm Snapdragon 888,Samsung Galaxy Z Flip3 5G,Samsung,6.7 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,128 GB,269.48
15,Samsung Galaxy S10+ Plus Factory Unlocked AT&T Verizon T-Mobile Sprint Open Box,114789287210,8 GB,2.8 GHz Qualcomm Snapdragon 855,Samsung Galaxy S10+,Samsung,6.4 in,"2G, 3G, 4G, 4G+, Bluetooth, DLNA, Dual-Band, GPRS, GPS",Android,16.0 MP,128 GB,237.88
16,Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,304229092614,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,64 GB,299.95
17,TCL TMobile REVVL 5G T790W T-Mobile Unlocked 128GB Black C,175916322761,,,TMobile REVVL 5G,TCL,,,,,128GB,64.99
18,"2023 Reno10 Pro+ Smartphone 7.3"" 16GB+1TB Android Factory Unlocked Mobile Phone",375069166219,16 GB,Deca Core,Reno10 Pro+,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, USB Type-C, Wi-Fi",Android,108.0MP,1 TB,110.88
19,Apple iPhone 11 64GB 128GB Verizon T-Mobile AT&T Unlocked Good Condition,115382462850,2 GB,,Iphone 11,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,,173.00 to 355.00
20,"S23 Ultra 8+256GB Smartphone 7.3"" Factory Unlocked Android Mobile Phones 8000mAh",385618422144,8 GB,10 Core,S23 Ultra,Unbranded,7.3 in,"3G, 4G, 5G, GPS, LTE, USB Type-C, Wi-Fi",Android,Front 50MP+Rear 108MP,256 GB,137.07
21,"S23 Ultra Smartphone 7.3"" 8+256GB Factory Unlocked Android Mobile Phones 6800mAh",314977279829,8 GB,10 Core,No.S23 Ultra 5G,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, GPS, Micro USB, Wi-Fi",Android 13.0,50MP+108MP,256 GB,158.99
22,"S23 Ultra 5G Smartphone 7.3"" 8GB+256GB Unlocked Android 13 Mobile Phones 6800mAh",314963613240,8 GB,Qualcomm SM8550,S23 Ultra 5G,Unbranded,7.3in,"2G,3G,4G,5G,GPS,LTE,USBType-C,Wi-Fi",Android,50.0 MP,256 GB,168.88
23,Apple iPhone XS Max 64GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,304078558779,4 GB,Hexa Core,Apple iPhone XS Max,Apple,6.5 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,64 GB,229.95
24,Samsung Galaxy A03s SM-A037U T-Mobile Unlocked 32GB Black Good,195982943419,,,Galaxy A03s,Samsung,,,,,32GB,69.99
25,New ListingT-Mobile Revvl 5G 128GB Black T790W (Unlocked) GSM World Phone VF9252,276189706597,6 GB,Octa-core,T-Mobile Revvl,T-Mobile,6.5 in,5G,Android,48.0 MP,128 GB,59.80
26,Bullitt Mobile CAT S22 FLIP 16GB - Black - (T-Mobile) - Excellent,175361228550,,,S22,CAT,,,,,16 GB,49.99
27,Apple iPhone 5s - 16/32/64GB - ALL COLORS Unlocked/AT&T/T-Mobile A1453,125654714303,,Dual Core,Apple iPhone 5s,Apple,4 in,"Bluetooth, Wi-Fi",iOS,8.0 MP,,28.99 to 47.99
28,Apple iPhone 8/8 Plus (64GB 128GB 256GB) Unlocked Verizon At&t GSM/CDMA LTE 4G,115623710295,2 GB,Hexa Core,iPhone 8 PLUS,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,"64GB , 256GB",94.00 to 183.00
29,New Samsung Galaxy S22 Ultra 5G SM-S908U1 FACTORY UNLOCKED & FREE GIFT,355218216033,12 GB,Qual Comm,Samsung Galaxy S22 Ultra,Samsung,6.8 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,108.0 MP,"128 GB, 256 GB, 512 GB, 1024 GB",638.00 to 715.00
30,"Apple iPhone 6S (Excellent Condition) Factory Unlocked, Verizon, AT&T, T-Mobile",114996232299,2 GB,Dual Core,iPhone 6s,Apple,4.7 in,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,,47.00 to 108.00
31,Apple iPhone 5c - 8/16/32GB - ALL COLORS Unlocked/AT&T/T-Mobile A1532,125654617032,,Dual Core,Apple iPhone 5c,Apple,4 in,"Bluetooth, Wi-Fi",iOS,8.0 MP,,32.00 to 49.00
32,OnePlus Nord N20 5G N20 - 128GB - Blue GSM T-Mobile Unlocked Smartphone New,155688343268,6 GB,Octa Core,OnePlus Nord N20 5G,OnePlus,6.4 in,"5G, Bluetooth, GPS, Headphone Jack, LTE, NFC, USB Type-C, Wi-Fi",OxygenOS,64.0 MP,128 GB,139.99
33,Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,294301057065,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,64 GB,284.95
34,NEW CAT S22 T-Mobile Unlocked 4G LTE Rugged Touch Screen 16GB Android Flip Phone,225716474217,2 GB,Quad Core,CAT S22 FLIP,CAT,2.8 in,"Bluetooth, 4G, 3G, Wi-Fi, 2G, Micro USB, GPS, LTE",Android,5.0 MP,16 GB,64.99
35,Apple iPhone SE 1st Gen. - 16/32/64/128GB - ALL COLORS Unlocked/AT&T/T-Mobile,125654726090,2GB,Dual Core,Apple iPhone SE,Apple,4 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,,54.99 to 89.99
36,"S23 Ultra 5G Smartphone 7.3"" 2GB+16GB Factory Unlocked Android 13 Mobile Phones",314977343502,2 GB,10 Core,No.S23 Ultra 5G,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, GPS, Micro USB, Wi-Fi",Android 13.0,48MP+72MP,16 GB,99.99
37,Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,294431988547,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,329.95
38,"S23 Ultra Smartphone 7.3"" 8+256GB Factory Unlocked Android Mobile Phones 6800mAh",314963787609,8 GB,Qualcomm SM8550,S23 Ultra 5G,Unbranded,7.3in,"2G,3G,4G,5G,GPS,LTE,USBType-C,Wi-Fi",Android,50.0 MP,256 GB,169.99
39,Apple iPhone 11 Pro 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304087129567,4 GB,Hexa Core,Apple iPhone 11 Pro,Apple,5.8 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,64 GB,299.95
40,Samsung Galaxy S9 - Unlocked - Verizon T-Mobile AT&T 64GB 4G Smartphone,274614344653,4GB,,Samsung Galaxy S9,Samsung,5.8,,Android,,64 GB,108.30
41,Samsung Galaxy S21 SM-S991U- 5G - 128GB FACTORY Unlocked GSM+CDMA EXCELLENT,125641047454,8 GB,Octa Core,Samsung Galaxy S21 5G,Samsung,6.2 in,"4G, 4G+, LTE, USB Type-C, 5G, Bluetooth, Wi-Fi, NFC, GPS",Android,"12.0 MP, 64.0 MP",128 GB,259.48
42,Samsung Galaxy S9 Unlocked AT&T Verizon T-Mobile Sprint 64GB POOR CONDITION!!,284986177304,4GB,,Samsung Galaxy S9,Samsung,5.8,,Android,,64 GB,92.00
43,Samsung Galaxy S20 / S20+ /S20 FE 5G - Unlocked/T-Mobile/Verizon/AT&T- Excellent,175424893470,8 GB,octa-core Samsung Exynos 990 processor,,Samsung,6.2/6.7,"4G, 5G, Bluetooth, GPS, NFC, USB Type-C",Android,64.0 MP,128 GB,156.56 to 203.33
44,Samsung Galaxy A03s SM-A037U 32GB / 64GB Unlocked T-Mobile AT&T Verizon,275396310285,4 GB,Octa Core,Samsung Galaxy A03s,Samsung,6.5 in,"2G, 3G, 4G",Android,13.0 MP,64 GB,59.99 to 89.99
45,"2023 Reno10 Pro+ Smartphone 7.3"" 16GB+1TB Android Factory Unlocked Mobile Phone",385740889503,16 GB,10 Core,Reno10 Pro+,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, GPS, USB Type-C, Wi-Fi",Android,50MP x 108MP,1 TB,128.79
46,"Apple iPhone 8 (Excellent Condition) Factory Unlocked, ATT, TMobile, Verizon GSM",224768021563,,A11,Apple iPhone 8,Apple,"4.7""",4G,iOS - Apple,12MP,,166.24 to 170.99
47,Apple iPhone XS Max 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,294291233736,4 GB,Hexa Core,Apple iPhone XS Max,Apple,6.5 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,64 GB,254.95
48,Apple iPhone 6 16GB 64GB 128GB Factory Unlocked AT&T Verizon TMobile Sprint Mint,113858937706,2 GB,Dual Core,iPhone 6,Apple,4.7 in,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,,39.00 to 105.00
49,LG V60 ThinQ 5G 128GB Blue LM-V600TM (T-Mobile Unlocked) GSM World Phone VF9241,276184854613,8 GB,Octa Core,LG V60 ThinQ 5G,LG,6.8 in,"Bluetooth, Headphone Jack, Wi-Fi, NFC, GPS, USB Type-C, 5G, 4G, 3G, 2G, DLNA, LTE, Dual-Band",Android,"0.3 MP, 64.0 MP, 13.0 MP, 10.0 MP",128 GB,129.63
50,Apple iPhone 12 64GB Black / Red / Blue / White T-Mobile Smartphone 5G,115969887537,2 GB,,Apple iPhone 12,Apple,,"LTE, 2G, 3G, 4G, 5G, WI-FI, NFC, GPS, Bluetooth",iOS,12.0 MP,64 GB,301.00
51,Samsung Galaxy Note 8 N950U 64GB GSM Unlocked AT&T T-Mobile Verizon Phone Good,163765893816,,,Galaxy Note 8,Samsung,"6.3""",,Android,12.0MP,64GB,109.95
52,Motorola RAZR V3 Flip Bluetooth MP4 video Unlocked GSM Mobile Phone (8 Colors),314871615479,,,Motorola RAZR V3,Motorola,2.2 in,"2G, Bluetooth, Quad-Band",,0.3 MP,5 MB,29.99
53,Samsung Galaxy S21 | S21+ Plus 5G - 128GB - Unlocked | Verizon | T-Mobile | AT&T,186067465627,8 GB,Octa Core,,Samsung,6.2 in,"2G, 3G, 4G, 5G, Bluetooth, Dual-Band, LTE, NFC, USB Type-C, Wi-Fi",Android,12.0 MP,128 GB,204.95 to 299.95
54,Samsung Galaxy Note 20 Ultra Boost T-Mobile AT&T Verizon Mint Unlocked N986U B-,266495354159,12 GB,Octa Core,Samsung Galaxy Note20 Ultra,Samsung,6.9 in,"2G, 3G, 4G, 5G, Bluetooth, Wi-Fi",Android,108.0 MP,128 GB,339.99 to 369.99
55,Apple iPhone 7 - 32GB 128GB 256GB - ALL COLORS Unlocked/AT&T/T-Mobile A1660,126019265013,2 GB,Quad Core,Apple iPhone 7,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,,69.99 to 99.99
56,New ListingT-Mobile Samsung Galaxy A03s - 32GB - Black,285576771084,,,Samsung Galaxy A03s,Samsung,,,Android,,32 GB,15.00
57,Samsung Galaxy S21 + PLUS 5G 128GB Unlocked Verizon AT&T T-mobile Metro OPEN BOX,115650883660,8 GB,Octa Core,Samsung Galaxy S21+ 5G,Samsung,6.8 in,5G,Android,12.0 MP,128 GB,229.48 to 298.48
58,Apple iPhone 7 Plus - 128GB - All Colors - Unlocked - Good Condition,114977519331,2 GB,Quad Core,iPhone 7 Plus,Apple,5.5 In,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,,108.00 to 166.00
59,"OnePlus Nord N20 5G 128GB GN2200 T-Mobile/Unlocked Smartphone, Very Good - Read",256309890026,4 GB,Snapdragon 480 5G (Octa-core),OnePlus Nord N2200,OnePlus,6.43,"3G, 4G, 5G, Bluetooth, Wi-Fi",Android,13.0 MP,128 GB,89.99
60,Apple iPhone 11 - 64GB | 128GB - (Unlocked) A2111 (CDMA + GSM) Smartphone - Good,266428864398,4 GB,Hexa Core,Apple iPhone 11,Apple,6.1 in,"Bluetooth, 4G, Wi-Fi, Lightning, NFC",iOS,12.0 MP,,244.95 to 294.95
61,Apple iPhone 6 Plus 16GB 64GB Factory Unlocked AT&T T-mobile Verizon Good,114981059288,2 GB,Dual Core,Iphone 6 Plus,Apple,5.5 in,"2G, 3G, 4G, 5G, Bluetooth, GPS, LTE, NFC, Wi-Fi",iOS,12.0 MP,,58.00 to 105.00
62,Apple iPhone SE 3rd Gen 2022 5G AT&T/Verizon/T-Mobile/Unlocked 64GB/128GB/256GB,145005693488,4 GB,Hexa Core,Apple iPhone SE (3rd Generation),Apple,4.7 in,"2G, 3G, 4G, 4G+, 5G, Bluetooth, Dual-Band, GPS, Lightning, LTE, Wi-Fi",iOS,12.0 MP,"64GB, 128GB, 256GB",189.99 to 299.99
63,"New S23 Ultra Android 16GB+1TB 6.8"" 5G Smartphone Unlocked Dual Sim Mobile Phone",385847840565,16 GB,10 Core,S23 Ultra,Unbranded,6.8 in,"5G, Bluetooth, GPS, USB Type-C, Wi-Fi",Android,48MP + 72MP,1 TB,155.48
64,Unlocked 6.8 Inch i13 Pro Max Android 10 Smartphone Dual Sim 4G Phone Mobile,195749466918,4 GB,Quad Core,i13 Pro Max,Unbranded,6.8 in,"2G, 3G, 4G, Bluetooth, GPS, Micro USB, Wi-Fi",,,4 GB+64GB,56.99 to 79.99
65,Samsung Galaxy Z FLIP 3 -5G 128GB UNLOCKED AT&T VERIZON TMOBILE METRO  EXCELLENT,134427487399,8 GB,Qualcomm Snapdragon 888,Samsung Galaxy Z Flip3 5G,Samsung,6.7 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,12.0 MP,128 GB,229.48 to 269.48
66,*NEW SEALED* T-MOBILE Apple iPhone 6 - 16/64/128GB Unlocked UNLOCKED Smartphone,284638811512,,,iPhone 6 16GB,Apple,,,,,16 GB,117.99 to 136.99
67,"US S23 Ultra 6.8"" 8GB+256GB Smartphone Android 12 Unlocked 5G LTE Mobile Phones",235311645907,,,S23 Ultra,Unbranded,,,Android 12,,/,88.99 to 89.99
68,Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,186035177804,3 GB,Hexa Core,,Apple,5.8 in,"2G, 3G, 4G, 4G+, Bluetooth, LTE",iOS,12.0 MP,,179.95 to 339.95
69,OnePlus 10 Pro 5G NE2217 128GB T-Mobile Unlocked Black Triple Camera Hasselblad.,155556163852,8 GB,Octa Core,OnePlus 10 Pro,OnePlus,6.7 in,5G,Android,48.0 MP,128 GB,364.99
70,New Samsung Galaxy Note 20 5G N981U 128GB Factory Unlocked AT&T T-Mobile Verizon,195543923529,,Octa Core,Samsung Galaxy Note20 5G,Samsung,6.7 in,"3G, 4G, 5G, Bluetooth, GPS",Android,12.0 MP,128 GB,289.99
71,"6.8"" Unlocked i13 Pro Max Android 10 Smartphone Dual Sim 4G Phone Mobile 4G+64GB",394589100183,4 GB,,i13 Pro Max,Unbranded,,,,,4 GB+64GB,59.99
72,Samsung Galaxy S8+ Plus SM-G955U 64GB  GSM Unlocked for AT&T T-Mobile & Verizon,394990663134,4 GB,Octa Core,Samsung Galaxy S8+,Samsung,6.2 in,"USB Type-C, Bluetooth, Wi-Fi, ANT+, NFC",Android,12.0 MP,64 GB,119.99
73,Apple iPhone 12 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,294304467850,6 GB,Hexa Core,Apple iPhone 12 Pro,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,389.95
74,Samsung Galaxy A71 5G SM-A716U T-Mobile Unlocked 128GB Prism Cube Black Good,194969043135,6 GB RAM,,Galaxy A71 5G,Samsung,,,,,128GB,119.99
75,"S23 Ultra 6.8"" 8GB+256GB Smartphone Android 12 Unlocked 5G LTE Mobile Phones US",155899093323,,,S23 Ultra,Unbranded,,,Android 12,,/,88.99 to 89.99
76,Samsung Galaxy S9 & S9+ Plus 64GB 128GB 256GB - Unlocked AT&T T-Mobile Verizon,185999762253,4 GB,Octa Core,,Samsung,5.8 in,"2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi",Android,12.0 MP,,104.94 to 194.94
77,Samsung Galaxy S21 Ultra G998U1 5G 128GB Black Fully Unlocked GSM+CDMA EXCELLENT,125593233883,12 GB,Octa Core,Samsung Galaxy S21 Ultra 5G,Samsung,6.8 in,"USB Type-C, 5G, Bluetooth, Wi-Fi, NFC, GPS",Android,12.0 MP,128 GB,384.48
78,Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,304185295459,4 GB,Hexa Core,Apple iPhone 12,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,317.95
79,Samsung Galaxy S8 | S8+ Plus 64GB Unlocked Verizon T-Mobile AT&T Metro Sprint,265223704053,4 GB,Octa Core,,Samsung,6.2 in,"3G, 4G, Bluetooth, GPS",Android,12.0 MP,64 GB,84.94 to 179.95
80,Samsung Galaxy S10+ Plus Factory Unlocked AT&T Verizon T-Mobile Sprint Open Box,114789287210,8 GB,2.8 GHz Qualcomm Snapdragon 855,Samsung Galaxy S10+,Samsung,6.4 in,"2G, 3G, 4G, 4G+, Bluetooth, DLNA, Dual-Band, GPRS, GPS",Android,16.0 MP,128 GB,207.88 to 237.88
81,"S23 Ultra 5G Smartphone 7.3"" 4GB+64GB Factory Unlocked Android 13 Mobile Phones",385781691950,4 GB,10 Core,No.S23 Ultra 5G,Unbranded,7.3 in,"3G, 4G, 5G, Bluetooth, GPS, Micro USB, Wi-Fi",Android 13.0,50MP+108MP,64 GB,125.11
82,NEW CAT Phone S62- T-Mobile Unlocked - 128GB - Rugged Waterproof Smartphone,125805996274,4 GB,Octa Core,CAT S62,CAT,5.7 in,"4G, Bluetooth, LTE",Android,48.0 MP,128 GB,139.99
83,CAT S22 T-Mobile Unlocked 4G LTE Rugged Touch Screen 16GB Android Flip Phone OB!,225733242347,2 GB,Quad Core,CAT S22 FLIP,T-Mobile,2.8 in,"Bluetooth, 4G, 3G, Wi-Fi, 2G, Micro USB, GPS, LTE",Android,5.0 MP,16 GB,54.99
84,Apple iPhone 12 mini 64GB Unlocked AT&T T-Mobile Verizon Very Good Condition,294982633019,4 GB,Hexa Core,Apple iPhone 12 mini,Apple,5.4 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,64 GB,244.95
85,Samsung Galaxy S10 Factory Unlocked Verizon T-Mobile Metro Cricket AT&T OPEN BOX,114785092853,8 GB,2.8 GHz Qualcomm Snapdragon 855,Samsung Galaxy S10,Samsung,6.1 in,"2G, 3G, 4G, 4G+, Bluetooth, DLNA, Dual-Band, GPRS, GPS",Android,16.0 MP,128 GB,148.48 to 199.48
86,TCL Stylus 5G T779W T-Mobile Unlocked 128GB Black Excellent,186108150590,,,Stylus 5G,TCL,,,,,128GB,105.00
87,NEW SAMSUNG GALAXY S21 ULTRA 5G UNLOCKED ALL CARRIER SM-G998U1 ALL COLOR &MEMORY,165845260263,12 GB,Qual Comm,Samsung Galaxy S21 Ultra 5G,Samsung,6.8 in,"4G, 4G+, 5G, Bluetooth, GPS",Android,108.0 MP,"128 GB, 256 GB, 512 GB",408.49 to 599.99
88,Samsung Galaxy A54 5G 128GB SM-A546 50 MP (Unlocked T-Mobile AT&T) Fedex 2 Day,275926762447,6 GB,Exynos 1280,Samsung Galaxy A54,Samsung,6.4 in,"2G, 3G, 4G, 4G+, 5G, Bluetooth, GPRS, GPS, LTE, Micro USB, NFC, USB Type-C, WAP, Wi-Fi",Android,50.0 MP,128 GB,229.99 to 289.99
89,Apple iPhone 11 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,304104247775,4 GB,Hexa Core,Apple iPhone 11 Pro Max,Apple,6.5 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,256 GB,384.95
90,Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,275507425786,8 GB,Octa Core,,Samsung,6.2-6.9,"2G, 3G, 4G, 5G, Bluetooth, Dual-Band, LTE, NFC, USB Type-C, Wi-Fi",Android,12.0 MP,,169.95 to 309.95
91,Samsung Galaxy Note 20 Ultra 5G Boost T-Mobile AT&T Verizon Mint Unlocked N986U,256204065617,12 GB,Octa Core,Samsung Galaxy Note20 Ultra 5G,Samsung,6.9 in,"2G, 3G, 4G, 5G, Bluetooth, Wi-Fi",Android,128,128 GB,329.99 to 419.99
92,"Samsung Galaxy S20 FE 5G G781U Unlocked Straight Talk AT&T T-Mobile Verizon 6.5""",235251546846,12 GB,Octa Core,Samsung Galaxy S20 FE 5G,Samsung,6.5 in,"2G, 3G, 4G, 5G, Bluetooth, Wi-Fi",Android,12.0 MP,128 GB,149.99 to 219.99
93,Apple iPhone 12 - 5G - 128GB Factory Unlocked GSM + CDMA - EXCELLENT,134411668661,4 GB,Apple A14 Bionic,Apple iPhone 12,Apple,6.1 in,5G,iOS,12.0 - 15.9 MP,128 GB,340.48 to 368.48
94,Samsung Galaxy S22 Ultra SM-S908U 128GB FACTORY UNLOCKED CDMA + GSM -  EXCELLENT,134662862147,12G,SNAPDRAGON,Samsung Galaxy S22 Ultra,Samsung,6.8,"5G, Bluetooth, GPS, NFC, Wi-Fi",Android,12.0 MP,128 GB,579.48 to 599.48
95,"Metro By T-Mobile OnePlus Nord N200 5G 6.5"" FHD+, 64GB, Blue, Prepaid - SEALED",126192149718,4 GB,Octa Core,OnePlus Nord,OnePlus,6.5 in,5G,Android,13.0 MP,64 GB,63.99
96,Apple iPhone 11 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,294291230647,4 GB,Hexa Core,Apple iPhone 11 Pro,Apple,5.8 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning",iOS,12.0MP,256 GB,349.95
97,Boost Mobile Apple iPhone SE (2nd Gen 2020) 64GB Black Prepaid Smartphone NEW,295930537959,3 GB,Hexa Core,Apple iPhone SE (2nd Generation),Apple,4.7 in,"Bluetooth, 4G, Wi-Fi, LTE",iOS,12.0 MP,64 GB,129.99
98,Apple iPhone 8 64GB Verizon T-Mobile AT&T Unlocked Smartphone PRISTINE Condition,175468289545,2 GB,Hexa Core,Apple iPhone 8,Apple,4.7 in,"Bluetooth, Wi-Fi, NFC",iOS,12.0 MP,64 GB,123.49
99,Samsung Galaxy S22+ SM-S906U T-Mobile Locked 128GB White NEW BOX,196018175178,8 GB,,Samsung Galaxy S22+,Samsung,6.6 in,"5G, Bluetooth, Wi-Fi, NFC",Android,"12.0 MP, 50.0 MP, 10.0 MP",128 GB,369.99
100,Samsung Galaxy S9+ Plus G965U Unlocked AT&T T-Mobile Boost Total Mint Verizon,186047182876,4 GB,Octa Core,Samsung Galaxy S9+,Samsung,6.2 in,"2G, 3G, 4G, Bluetooth, LTE, Wi-Fi",Android,12.0MP,64GB,109.99 to 169.99
101,Apple iPhone 14 - 128GB - T-Mobile - Midnight - 5G Smartphone - EXCELLENT,266458258764,,Hexa Core,Apple iPhone 14,Apple,6.1 in,"5G, Bluetooth, Wi-Fi, Lightning, NFC",iOS,12.0 MP,128 GB,489.99
102,Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,295217227352,6 GB,Hexa Core,Apple iPhone 13 Pro,Apple,6.1 in,"4G, Bluetooth, NFC, Wi-Fi, Lightning, 5G",iOS,12.0 MP,128 GB,507.95
